INFO : 2021-08-26 20:32:42,196 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:33:09,744 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/a9484b34-0f88-4b3e-8584-394c202d093e/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:33:09,744 : Finished Request
DEBUG : 2021-08-26 20:33:09,744 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/146b1732-7b2f-44ce-8857-46aa633357c5/text {"id": "146b1732-7b2f-44ce-8857-46aa633357c5"}
DEBUG : 2021-08-26 20:33:09,759 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/146b1732-7b2f-44ce-8857-46aa633357c5/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:33:09,760 : Finished Request
DEBUG : 2021-08-26 20:33:09,760 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d41648a9-74e9-4ceb-b9b9-d80f7bef27e0/text {"id": "d41648a9-74e9-4ceb-b9b9-d80f7bef27e0"}
DEBUG : 2021-08-26 20:33:09,777 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d41648a9-74e9-4ceb-b9b9-d80f7bef27e0/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:33:09,777 : Finished Request
DEBUG : 2021-08-26 20:33:09,778 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/dd9ee2bc-ed69-469a-9d45-f4df43e40254/name {"id": "dd9ee2bc-ed69-469a-9d45-f4df43e40254"}
DEBUG : 2021-08-26 20:33:09,783 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/dd9ee2bc-ed69-469a-9d45-f4df43e40254/name HTTP/1.1" 200 18
DEBUG : 2021-08-26 20:33:09,783 : Finished Request
DEBUG : 2021-08-26 20:33:09,783 : POST http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/execute/sync {"script": "return (function(){return function(){var d=this;function f(a){return\"string\"==typeof a};function h(a,b){this.code=a;this.a=l[a]||m;this.message=b||\"\";a=this.a.replace(/((?:^|\\s+)[a-z])/g,function(a){return a.toUpperCase().replace(/^[\\s\\xa0]+/g,\"\")});b=a.length-5;if(0>b||a.indexOf(\"Error\",b)!=b)a+=\"Error\";this.name=a;a=Error(this.message);a.name=this.name;this.stack=a.stack||\"\"}\n(function(){var a=Error;function b(){}b.prototype=a.prototype;h.b=a.prototype;h.prototype=new b;h.prototype.constructor=h;h.a=function(b,c,g){for(var e=Array(arguments.length-2),k=2;k<arguments.length;k++)e[k-2]=arguments[k];return a.prototype[c].apply(b,e)}})();var m=\"unknown error\",l={15:\"element not selectable\",11:\"element not visible\"};l[31]=m;l[30]=m;l[24]=\"invalid cookie domain\";l[29]=\"invalid element coordinates\";l[12]=\"invalid element state\";l[32]=\"invalid selector\";l[51]=\"invalid selector\";\nl[52]=\"invalid selector\";l[17]=\"javascript error\";l[405]=\"unsupported operation\";l[34]=\"move target out of bounds\";l[27]=\"no such alert\";l[7]=\"no such element\";l[8]=\"no such frame\";l[23]=\"no such window\";l[28]=\"script timeout\";l[33]=\"session not created\";l[10]=\"stale element reference\";l[21]=\"timeout\";l[25]=\"unable to set cookie\";l[26]=\"unexpected alert open\";l[13]=m;l[9]=\"unknown command\";h.prototype.toString=function(){return this.name+\": \"+this.message};var n;a:{var p=d.navigator;if(p){var q=p.userAgent;if(q){n=q;break a}}n=\"\"}function r(a){return-1!=n.indexOf(a)};function t(a,b){for(var e=a.length,c=f(a)?a.split(\"\"):a,g=0;g<e;g++)g in c&&b.call(void 0,c[g],g,a)};function v(){return r(\"iPhone\")&&!r(\"iPod\")&&!r(\"iPad\")};function w(){return(r(\"Chrome\")||r(\"CriOS\"))&&!r(\"Edge\")};var x=r(\"Opera\"),y=r(\"Trident\")||r(\"MSIE\"),z=r(\"Edge\"),A=r(\"Gecko\")&&!(-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\"))&&!(r(\"Trident\")||r(\"MSIE\"))&&!r(\"Edge\"),aa=-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\");function B(){var a=d.document;return a?a.documentMode:void 0}var C;\na:{var D=\"\",E=function(){var a=n;if(A)return/rv\\:([^\\);]+)(\\)|;)/.exec(a);if(z)return/Edge\\/([\\d\\.]+)/.exec(a);if(y)return/\\b(?:MSIE|rv)[: ]([^\\);]+)(\\)|;)/.exec(a);if(aa)return/WebKit\\/(\\S+)/.exec(a);if(x)return/(?:Version)[ \\/]?(\\S+)/.exec(a)}();E&&(D=E?E[1]:\"\");if(y){var F=B();if(null!=F&&F>parseFloat(D)){C=String(F);break a}}C=D}var G;var H=d.document;G=H&&y?B()||(\"CSS1Compat\"==H.compatMode?parseInt(C,10):5):void 0;var ba=r(\"Firefox\"),ca=v()||r(\"iPod\"),da=r(\"iPad\"),I=r(\"Android\")&&!(w()||r(\"Firefox\")||r(\"Opera\")||r(\"Silk\")),ea=w(),J=r(\"Safari\")&&!(w()||r(\"Coast\")||r(\"Opera\")||r(\"Edge\")||r(\"Silk\")||r(\"Android\"))&&!(v()||r(\"iPad\")||r(\"iPod\"));function K(a){return(a=a.exec(n))?a[1]:\"\"}(function(){if(ba)return K(/Firefox\\/([0-9.]+)/);if(y||z||x)return C;if(ea)return v()||r(\"iPad\")||r(\"iPod\")?K(/CriOS\\/([0-9.]+)/):K(/Chrome\\/([0-9.]+)/);if(J&&!(v()||r(\"iPad\")||r(\"iPod\")))return K(/Version\\/([0-9.]+)/);if(ca||da){var a=/Version\\/(\\S+).*Mobile\\/(\\S+)/.exec(n);if(a)return a[1]+\".\"+a[2]}else if(I)return(a=K(/Android\\s+([0-9.]+)/))?a:K(/Version\\/([0-9.]+)/);return\"\"})();var L,M=function(){if(!A)return!1;var a=d.Components;if(!a)return!1;try{if(!a.classes)return!1}catch(g){return!1}var b=a.classes,a=a.interfaces,e=b[\"@mozilla.org/xpcom/version-comparator;1\"].getService(a.nsIVersionComparator),c=b[\"@mozilla.org/xre/app-info;1\"].getService(a.nsIXULAppInfo).version;L=function(a){e.compare(c,\"\"+a)};return!0}(),N=y&&!(8<=Number(G)),fa=y&&!(9<=Number(G));I&&M&&L(2.3);I&&M&&L(4);J&&M&&L(6);var ga={SCRIPT:1,STYLE:1,HEAD:1,IFRAME:1,OBJECT:1},O={IMG:\" \",BR:\"\\n\"};function P(a,b,e){if(!(a.nodeName in ga))if(3==a.nodeType)e?b.push(String(a.nodeValue).replace(/(\\r\\n|\\r|\\n)/g,\"\")):b.push(a.nodeValue);else if(a.nodeName in O)b.push(O[a.nodeName]);else for(a=a.firstChild;a;)P(a,b,e),a=a.nextSibling};function Q(a,b){b=b.toLowerCase();return\"style\"==b?ha(a.style.cssText):N&&\"value\"==b&&R(a,\"INPUT\")?a.value:fa&&!0===a[b]?String(a.getAttribute(b)):(a=a.getAttributeNode(b))&&a.specified?a.value:null}var ia=/[;]+(?=(?:(?:[^\"]*\"){2})*[^\"]*$)(?=(?:(?:[^']*'){2})*[^']*$)(?=(?:[^()]*\\([^()]*\\))*[^()]*$)/;\nfunction ha(a){var b=[];t(a.split(ia),function(a){var c=a.indexOf(\":\");0<c&&(a=[a.slice(0,c),a.slice(c+1)],2==a.length&&b.push(a[0].toLowerCase(),\":\",a[1],\";\"))});b=b.join(\"\");return b=\";\"==b.charAt(b.length-1)?b:b+\";\"}function S(a,b){N&&\"value\"==b&&R(a,\"OPTION\")&&null===Q(a,\"value\")?(b=[],P(a,b,!1),a=b.join(\"\")):a=a[b];return a}function R(a,b){b&&\"string\"!==typeof b&&(b=b.toString());return!!a&&1==a.nodeType&&(!b||a.tagName.toUpperCase()==b)}\nfunction T(a){return R(a,\"OPTION\")?!0:R(a,\"INPUT\")?(a=a.type.toLowerCase(),\"checkbox\"==a||\"radio\"==a):!1};var ja={\"class\":\"className\",readonly:\"readOnly\"},U=\"allowfullscreen allowpaymentrequest allowusermedia async autofocus autoplay checked compact complete controls declare default defaultchecked defaultselected defer disabled ended formnovalidate hidden indeterminate iscontenteditable ismap itemscope loop multiple muted nohref nomodule noresize noshade novalidate nowrap open paused playsinline pubdate readonly required reversed scoped seamless seeking selected truespeed typemustmatch willvalidate\".split(\" \");function V(a,b){var e=null,c=b.toLowerCase();if(\"style\"==c)return(e=a.style)&&!f(e)&&(e=e.cssText),e;if((\"selected\"==c||\"checked\"==c)&&T(a)){if(!T(a))throw new h(15,\"Element is not selectable\");b=\"selected\";e=a.type&&a.type.toLowerCase();if(\"checkbox\"==e||\"radio\"==e)b=\"checked\";return S(a,b)?\"true\":null}var g=R(a,\"A\");if(R(a,\"IMG\")&&\"src\"==c||g&&\"href\"==c)return(e=Q(a,c))&&(e=S(a,c)),e;if(\"spellcheck\"==c){e=Q(a,c);if(null!==e){if(\"false\"==e.toLowerCase())return\"false\";if(\"true\"==e.toLowerCase())return\"true\"}return S(a,\nc)+\"\"}g=ja[b]||b;a:if(f(U))c=f(c)&&1==c.length?U.indexOf(c,0):-1;else{for(var u=0;u<U.length;u++)if(u in U&&U[u]===c){c=u;break a}c=-1}if(0<=c)return(e=null!==Q(a,b)||S(a,g))?\"true\":null;try{var k=S(a,g)}catch(ka){}(c=null==k)||(c=typeof k,c=\"object\"==c&&null!=k||\"function\"==c);c?e=Q(a,b):e=k;return null!=e?e.toString():null}var W=[\"_\"],X=d;W[0]in X||!X.execScript||X.execScript(\"var \"+W[0]);\nfor(var Y;W.length&&(Y=W.shift());){var Z;if(Z=!W.length)Z=void 0!==V;Z?X[Y]=V:X[Y]&&X[Y]!==Object.prototype[Y]?X=X[Y]:X=X[Y]={}};; return this._.apply(null,arguments);}.apply({navigator:typeof window!='undefined'?window.navigator:null,document:typeof window!='undefined'?window.document:null}, arguments);}\n).apply(null, arguments);", "args": [{"ELEMENT": "dd9ee2bc-ed69-469a-9d45-f4df43e40254", "element-6066-11e4-a52e-4f735466cecf": "dd9ee2bc-ed69-469a-9d45-f4df43e40254"}, "multiple"]}
DEBUG : 2021-08-26 20:33:09,791 : http://127.0.0.1:50124 "POST /session/7b4af50d3ab7d31f2fb2f595541ac2d3/execute/sync HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:33:09,791 : Finished Request
DEBUG : 2021-08-26 20:33:09,792 : POST http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/dd9ee2bc-ed69-469a-9d45-f4df43e40254/elements {"using": "css selector", "value": "option", "id": "dd9ee2bc-ed69-469a-9d45-f4df43e40254"}
DEBUG : 2021-08-26 20:33:09,804 : http://127.0.0.1:50124 "POST /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/dd9ee2bc-ed69-469a-9d45-f4df43e40254/elements HTTP/1.1" 200 1038
DEBUG : 2021-08-26 20:33:09,805 : Finished Request
DEBUG : 2021-08-26 20:33:09,805 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/c99e88ba-a0da-4d54-84aa-331da0c19915/text {"id": "c99e88ba-a0da-4d54-84aa-331da0c19915"}
DEBUG : 2021-08-26 20:33:09,821 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/c99e88ba-a0da-4d54-84aa-331da0c19915/text HTTP/1.1" 200 15
DEBUG : 2021-08-26 20:33:09,821 : Finished Request
DEBUG : 2021-08-26 20:33:09,822 : POST http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/dd9ee2bc-ed69-469a-9d45-f4df43e40254/elements {"using": "xpath", "value": ".//option[normalize-space(.) = \"All\"]", "id": "dd9ee2bc-ed69-469a-9d45-f4df43e40254"}
DEBUG : 2021-08-26 20:33:09,834 : http://127.0.0.1:50124 "POST /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/dd9ee2bc-ed69-469a-9d45-f4df43e40254/elements HTTP/1.1" 200 90
DEBUG : 2021-08-26 20:33:09,835 : Finished Request
DEBUG : 2021-08-26 20:33:09,835 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/c99e88ba-a0da-4d54-84aa-331da0c19915/selected {"id": "c99e88ba-a0da-4d54-84aa-331da0c19915"}
DEBUG : 2021-08-26 20:33:09,845 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/c99e88ba-a0da-4d54-84aa-331da0c19915/selected HTTP/1.1" 200 15
DEBUG : 2021-08-26 20:33:09,845 : Finished Request
DEBUG : 2021-08-26 20:33:09,845 : POST http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/c99e88ba-a0da-4d54-84aa-331da0c19915/click {"id": "c99e88ba-a0da-4d54-84aa-331da0c19915"}
DEBUG : 2021-08-26 20:33:11,414 : http://127.0.0.1:50124 "POST /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/c99e88ba-a0da-4d54-84aa-331da0c19915/click HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:33:11,414 : Finished Request
DEBUG : 2021-08-26 20:33:11,414 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/48584dd3-85a3-414d-86b6-ab7352911dd4/text {"id": "48584dd3-85a3-414d-86b6-ab7352911dd4"}
DEBUG : 2021-08-26 20:33:11,445 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/48584dd3-85a3-414d-86b6-ab7352911dd4/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,445 : Finished Request
DEBUG : 2021-08-26 20:33:11,445 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/f7ebe750-244d-4bf5-b07e-3a5853c19aee/text {"id": "f7ebe750-244d-4bf5-b07e-3a5853c19aee"}
DEBUG : 2021-08-26 20:33:11,481 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/f7ebe750-244d-4bf5-b07e-3a5853c19aee/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,482 : Finished Request
DEBUG : 2021-08-26 20:33:11,482 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d454065c-2d52-49d8-8a97-2e7f1e501142/text {"id": "d454065c-2d52-49d8-8a97-2e7f1e501142"}
DEBUG : 2021-08-26 20:33:11,496 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d454065c-2d52-49d8-8a97-2e7f1e501142/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,496 : Finished Request
DEBUG : 2021-08-26 20:33:11,496 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/2d0499a4-f4ae-4bca-8c3a-09b6ccfc2b58/text {"id": "2d0499a4-f4ae-4bca-8c3a-09b6ccfc2b58"}
DEBUG : 2021-08-26 20:33:11,511 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/2d0499a4-f4ae-4bca-8c3a-09b6ccfc2b58/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,511 : Finished Request
DEBUG : 2021-08-26 20:33:11,511 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/83c5a157-a7f3-4ed2-9142-91180cdeff35/text {"id": "83c5a157-a7f3-4ed2-9142-91180cdeff35"}
DEBUG : 2021-08-26 20:33:11,527 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/83c5a157-a7f3-4ed2-9142-91180cdeff35/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,527 : Finished Request
DEBUG : 2021-08-26 20:33:11,527 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d6c63c18-993e-4fc2-ac1e-762aa3a75a8c/text {"id": "d6c63c18-993e-4fc2-ac1e-762aa3a75a8c"}
DEBUG : 2021-08-26 20:33:11,558 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d6c63c18-993e-4fc2-ac1e-762aa3a75a8c/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,558 : Finished Request
DEBUG : 2021-08-26 20:33:11,558 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/1d29dbb5-1b53-4b0a-9f83-867fd35a59b9/text {"id": "1d29dbb5-1b53-4b0a-9f83-867fd35a59b9"}
DEBUG : 2021-08-26 20:33:11,574 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/1d29dbb5-1b53-4b0a-9f83-867fd35a59b9/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,574 : Finished Request
DEBUG : 2021-08-26 20:33:11,574 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d4780914-1e3c-42a6-94b1-d00ae87a1d63/text {"id": "d4780914-1e3c-42a6-94b1-d00ae87a1d63"}
DEBUG : 2021-08-26 20:33:11,591 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/d4780914-1e3c-42a6-94b1-d00ae87a1d63/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,591 : Finished Request
DEBUG : 2021-08-26 20:33:11,591 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/73891127-8a21-4c00-a319-93d9a07398c5/text {"id": "73891127-8a21-4c00-a319-93d9a07398c5"}
DEBUG : 2021-08-26 20:33:11,607 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/73891127-8a21-4c00-a319-93d9a07398c5/text HTTP/1.1" 200 13
DEBUG : 2021-08-26 20:33:11,607 : Finished Request
DEBUG : 2021-08-26 20:33:11,607 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/a270e6c0-378d-434a-a4e6-08ec5765b706/text {"id": "a270e6c0-378d-434a-a4e6-08ec5765b706"}
DEBUG : 2021-08-26 20:33:11,622 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/a270e6c0-378d-434a-a4e6-08ec5765b706/text HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:33:11,622 : Finished Request
DEBUG : 2021-08-26 20:33:11,622 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/4716810a-3c72-4023-b153-637a17d0d1ff/text {"id": "4716810a-3c72-4023-b153-637a17d0d1ff"}
DEBUG : 2021-08-26 20:33:11,638 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/4716810a-3c72-4023-b153-637a17d0d1ff/text HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:33:11,638 : Finished Request
DEBUG : 2021-08-26 20:33:11,638 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/7893e3b2-0336-41ad-8662-dc7fa19261d6/text {"id": "7893e3b2-0336-41ad-8662-dc7fa19261d6"}
DEBUG : 2021-08-26 20:33:11,653 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/7893e3b2-0336-41ad-8662-dc7fa19261d6/text HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:33:11,653 : Finished Request
DEBUG : 2021-08-26 20:33:11,653 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/5671b590-4699-4b38-a177-c8fcc8b68a50/name {"id": "5671b590-4699-4b38-a177-c8fcc8b68a50"}
DEBUG : 2021-08-26 20:33:11,653 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/5671b590-4699-4b38-a177-c8fcc8b68a50/name HTTP/1.1" 200 18
DEBUG : 2021-08-26 20:33:11,653 : Finished Request
